日期,标题,中文标题,原文链接,标签,类型,双语链接
2023/12/12,walk and talk,边走边聊,https://sive.rs/wt,Articles,实操,
2023/7/20,The past is not true,过去不是真实的,https://sive.rs/pnt,Useful Not True,故事,
2023/6/30,"dashing dog, searching for purpose",奔跑的狗，没有目的,https://sive.rs/pdog,Articles,比喻,https://readit.site/a/uDDkD
2023/5/18,$575K of books sold. $575K to save lives.,捐出售书 57.5 万美元，挽救生命。,https://sive.rs/575k,Articles,,
2023/4/21,The joy and freedom of harmlessly upsetting social norms,不守规矩带来的快乐和自由,https://sive.rs/nor,Articles,故事,
2023/4/20,Why I let go of my U.S. citizenship,为什么我放弃了美国国籍,https://sive.rs/xus,Articles,,
2023/4/15,the Michael Browne suits,迈克尔·布朗的西装,https://sive.rs/suits,Articles,人物,
2023/3/9,Curve into the target,曲线瞄准,https://sive.rs/aim,Useful Not True,,
2023/3/7,Thinking something nice about someone? Tell them.,想起某人的好？告诉他。,https://sive.rs/nice,Articles,实操,
2023/3/2,50 conversations in Bangalore and Chennai,在班加罗尔和金奈进行的 50 次对话,https://sive.rs/meet-chbg,Articles,实操,
2023/2/9,Explorers are bad leaders,探险家是糟糕的领导者,https://sive.rs/exled,Articles,,
2023/2/6,Travelling just for the people,为了人而旅行,https://sive.rs/travp,Articles,故事,https://readit.site/a/YaOXW
2023/2/2,Want anonymity? Make a persona not a mystery.,想匿名？塑造一个公共形象。,https://sive.rs/anon,Articles,反常,https://readit.site/a/aktrV
2023/1/31,I want to lose every debate.,我想在每场辩论中都失败。,https://sive.rs/led,Articles,,
2023/1/29,Conversations with Tyler Cowen,与泰勒·考温的对话,https://sive.rs/tyler,Articles,人物,
2023/1/27,Reading the Bible start to finish,通读圣经,https://sive.rs/bible,Articles,,
2022/10/30,Make believe,知道是假的,https://sive.rs/mb,Useful Not True,,
2022/10/28,"Daily run, part two",每日跑步，第二部分,https://sive.rs/run2,Useful Not True,,
2022/10/8,Static HTML comments,静态 HTML 注释,https://sive.rs/shc,Tech blog,,
2022/9/28,"Daily run, part one",每日跑步，第一部分,https://sive.rs/run,Useful Not True,比喻,
2022/9/20,Your explanations are not true,你的解释不是真的,https://sive.rs/confab,Useful Not True,反常,
2022/9/12,"Shortest date, and ketchup",最短的约会和番茄酱,https://sive.rs/ketchup,Articles,故事,https://readit.site/a/iReJe
2022/9/8,full-length videobook for “Your Music and People”,《Your Music and People》视频书,https://sive.rs/ymap,Articles,,
2022/8/25,Anything You Want — third edition for 2022,Anything You Want——2022 年第三版,https://sive.rs/a3,Articles,,
2022/7/26,"Scuba, panic, empathy",潜水，恐慌，共情,https://sive.rs/dive,Articles,故事,https://readit.site/a/fmbj0
2022/6/20,Writing one sentence per line,每行写一句话,https://sive.rs/1s,Articles,,
2022/6/19,The joke that changed my life,改变我生活的笑话,https://sive.rs/joke,Articles,,
2022/6/8,Find a good available .com domain,查找可用的 .com 域名,https://sive.rs/com,Tech blog,,
2022/5/9,Travel is best with young children,带小孩旅行最好,https://sive.rs/tk,Articles,反常,
2022/5/8,Short URLs: why and how,使用短链接的原因和方法,https://sive.rs/su,Tech blog,,
2022/3/24,"Ancestors, Luck, and Descendants",祖先、运气和后代,https://sive.rs/ald,Articles,,
2022/3/9,Why I left America,我为什么离开美国,https://sive.rs/left,Articles,,
2022/3/2,Write plain text files,纯文本写作,https://sive.rs/plaintext,Tech blog,,
2022/3/1,Generate unique random values directly in the database,在数据库中生成唯一的随机值,https://sive.rs/rand1,Tech blog,,
2022/3/1,Database triggers to clean text inputs,清除文本输入的数据库触发器,https://sive.rs/clean1,Tech blog,,
2022/2/28,Database functions to wrap logic and SQL queries,用于封装逻辑和 SQL 查询的数据库函数,https://sive.rs/api01,Tech blog,,
2022/2/27,"Database trigger recalculates totals, for data integrity",据库触发器重新计算总数，以保证数据完整性,https://sive.rs/recalc,Tech blog,,
2022/1/26,About my book notes,关于我的读书笔记,https://sive.rs/bfaq,Articles,,
2021/10/27,Considerate book pricing,合理的图书定价,https://sive.rs/bp,Articles,实操,
2021/8/13,How many pets do you have?,你有多少宠物？,https://sive.rs/pets,Articles,,
2020/8/6,$250K books sold. $250K to save lives.,捐出售书 25 万美元，挽救生命。,https://sive.rs/250k,Articles,,
2020/6/22,How to learn JavaScript,如何学习 JavaScript,https://sive.rs/learn-js,Tech blog,,
2019/12/30,Time is personal. Your year changes when your life changes.,时间是你的。跟着你的节奏走。,https://sive.rs/mny,Articles,,
2019/11/7,Experiments in music and life,音乐和 3 种生活实验,https://sive.rs/eml,Articles,,https://readit.site/a/POha5
2019/11/1,"Writing daily, but posting when ready",每天写作，但准备好了再发,https://sive.rs/nod,Articles,,
2019/10/30,How I got rich on the other hand,另一方面，我是怎么发财的,https://sive.rs/richand,Articles,,
2019/10/29,Podcast published today,播客上线,https://sive.rs/pinit2,Tech blog,,
2019/10/28,"When in doubt, try the difference",不确定的时候，试试不同的,https://sive.rs/trd,Articles,实操,
2019/10/27,Why experts are annoying,为什么专家让人讨厌,https://sive.rs/exan,Articles,,
2019/10/26,What you learn by travelling,你从旅行中学到了什么,https://sive.rs/trav1,Articles,,
2019/10/25,PostgreSQL example of self-contained stored procedures,PostgreSQL 自包含存储过程示例,https://sive.rs/pg2,Tech blog,,
2019/10/24,Mastery school,专精学校设想,https://sive.rs/masch,Articles,,https://readit.site/a/WFTfY
2019/10/23,Monthly self-expansion project,每月学个新主题,https://sive.rs/exex,Articles,,
2019/10/22,Living according to your hierarchy of values,按照你的价值观生活,https://sive.rs/vls1,Articles,,
2019/10/17,How to ask your mentors for help,如何向导师寻求帮助,https://sive.rs/ment,Articles,实操,
2019/10/16,"When you win the game, you stop playing",赢了，就停下,https://sive.rs/wtg,Articles,比喻,
2019/10/15,Digital pollution,数字垃圾,https://sive.rs/polut,Tech blog,,
2019/10/14,Cut out everything that’s not surprising,删掉所有不足为奇的东西,https://sive.rs/d22,Articles,反常,
2019/10/13,Heed your fears,留意你的恐惧,https://sive.rs/gofear,Articles,,
2019/10/12,Daydreaming is my favorite pastime,白日梦是我最喜欢的消遣方式,https://sive.rs/daydream,Articles,,
2019/10/11,Anti-chameleon,逆反心理,https://sive.rs/antic,Articles,,
