日期,标题,中文标题,标签,原文链接,双语链接
2023/12/12,walk and talk,边走边聊,Articles,https://sive.rs/wt,
2023/7/20,The past is not true,过去不是真实的,Useful Not True,https://sive.rs/pnt,
2023/6/30,"dashing dog, searching for purpose",奔跑的狗，没有目的,Articles,https://sive.rs/pdog,https://readit.site/a/uDDkD
2023/5/18,$575K of books sold. $575K to save lives.,捐出售书 57.5 万美元，挽救生命。,Articles,https://sive.rs/575k,
2023/4/21,The joy and freedom of harmlessly upsetting social norms,不守规矩带来的快乐和自由,Articles,https://sive.rs/nor,
2023/4/20,Why I let go of my U.S. citizenship,为什么我放弃了美国国籍,Articles,https://sive.rs/xus,
2023/4/15,the Michael Browne suits,迈克尔·布朗的西装,Articles,https://sive.rs/suits,
2023/3/9,Curve into the target,曲线瞄准,Useful Not True,https://sive.rs/aim,
2023/3/7,Thinking something nice about someone? Tell them.,想起某人的好？告诉他。,Articles,https://sive.rs/nice,
2023/3/2,50 conversations in Bangalore and Chennai,在班加罗尔和金奈进行的 50 次对话,Articles,https://sive.rs/meet-chbg,
2023/2/9,Explorers are bad leaders,探险家是糟糕的领导者,Articles,https://sive.rs/exled,
2023/2/6,Travelling just for the people,为了人而旅行,Articles,https://sive.rs/travp,https://readit.site/a/YaOXW
2023/2/2,Want anonymity? Make a persona not a mystery.,想匿名？塑造一个公共形象。,Articles,https://sive.rs/anon,https://readit.site/a/aktrV
2023/1/31,I want to lose every debate.,我想在每场辩论中都失败。,Articles,https://sive.rs/led,
2023/1/29,Conversations with Tyler Cowen,与泰勒·考温的对话,Articles,https://sive.rs/tyler,
2023/1/27,Reading the Bible start to finish,通读圣经,Articles,https://sive.rs/bible,
2022/10/30,Make believe,知道是假的,Useful Not True,https://sive.rs/mb,
2022/10/28,"Daily run, part two",每日跑步，第二部分,Useful Not True,https://sive.rs/run2,
2022/10/8,Static HTML comments,静态 HTML 注释,Tech blog,https://sive.rs/shc,
2022/9/28,"Daily run, part one",每日跑步，第一部分,Useful Not True,https://sive.rs/run,
2022/9/20,Your explanations are not true,你的解释不是真的,Useful Not True,https://sive.rs/confab,
2022/9/12,"Shortest date, and ketchup",最短的约会和番茄酱,Articles,https://sive.rs/ketchup,https://readit.site/a/iReJe
2022/9/8,full-length videobook for “Your Music and People”,《Your Music and People》视频书,Articles,https://sive.rs/ymap,
2022/8/25,Anything You Want — third edition for 2022,Anything You Want——2022 年第三版,Articles,https://sive.rs/a3,
2022/7/26,"Scuba, panic, empathy",潜水，恐慌，共情,Articles,https://sive.rs/dive,https://readit.site/a/fmbj0
2022/6/20,Writing one sentence per line,每行写一句话,Articles,https://sive.rs/1s,
2022/6/19,The joke that changed my life,改变我生活的笑话,Articles,https://sive.rs/joke,
2022/6/8,Find a good available .com domain,查找可用的 .com 域名,Tech blog,https://sive.rs/com,
2022/5/9,Travel is best with young children,带小孩旅行最好,Articles,https://sive.rs/tk,
2022/5/8,Short URLs: why and how,使用短链接的原因和方法,Tech blog,https://sive.rs/su,
2022/3/24,"Ancestors, Luck, and Descendants",祖先、运气和后代,Articles,https://sive.rs/ald,
2022/3/9,Why I left America,我为什么离开美国,Articles,https://sive.rs/left,
2022/3/2,Write plain text files,纯文本写作,Tech blog,https://sive.rs/plaintext,
2022/3/1,Generate unique random values directly in the database,在数据库中生成唯一的随机值,Tech blog,https://sive.rs/rand1,
2022/3/1,Database triggers to clean text inputs,清除文本输入的数据库触发器,Tech blog,https://sive.rs/clean1,
2022/2/28,Database functions to wrap logic and SQL queries,用于封装逻辑和 SQL 查询的数据库函数,Tech blog,https://sive.rs/api01,
2022/2/27,"Database trigger recalculates totals, for data integrity",据库触发器重新计算总数，以保证数据完整性,Tech blog,https://sive.rs/recalc,
2022/1/26,About my book notes,关于我的读书笔记,Articles,https://sive.rs/bfaq,
2021/10/27,Considerate book pricing,合理的图书定价,Articles,https://sive.rs/bp,
2021/8/13,How many pets do you have?,你有多少宠物？,Articles,https://sive.rs/pets,
2020/8/6,$250K books sold. $250K to save lives.,捐出售书 25 万美元，挽救生命。,Articles,https://sive.rs/250k,
2020/6/22,How to learn JavaScript,如何学习 JavaScript,Tech blog,https://sive.rs/learn-js,
2019/12/30,Time is personal. Your year changes when your life changes.,时间是你的。跟着你的节奏走。,Articles,https://sive.rs/mny,
2019/11/7,Experiments in music and life,音乐和 3 种生活实验,Articles,https://sive.rs/eml,https://readit.site/a/POha5
2019/11/1,"Writing daily, but posting when ready",每天写作，但准备好了再发,Articles,https://sive.rs/nod,
2019/10/30,How I got rich on the other hand,另一方面，我是怎么发财的,Articles,https://sive.rs/richand,
2019/10/29,Podcast published today,播客上线,Tech blog,https://sive.rs/pinit2,
2019/10/28,"When in doubt, try the difference",不确定的时候，试试不同的,Articles,https://sive.rs/trd,
2019/10/27,Why experts are annoying,为什么专家让人讨厌,Articles,https://sive.rs/exan,
2019/10/26,What you learn by travelling,你从旅行中学到了什么,Articles,https://sive.rs/trav1,
2019/10/25,PostgreSQL example of self-contained stored procedures,PostgreSQL 自包含存储过程示例,Tech blog,https://sive.rs/pg2,
2019/10/24,Mastery school,专精学校设想,Articles,https://sive.rs/masch,https://readit.site/a/WFTfY
2019/10/23,Monthly self-expansion project,每月学个新主题,Articles,https://sive.rs/exex,
2019/10/22,Living according to your hierarchy of values,按照你的价值观生活,Articles,https://sive.rs/vls1,
2019/10/17,How to ask your mentors for help,如何向导师寻求帮助,Articles,https://sive.rs/ment,
2019/10/16,"When you win the game, you stop playing",赢了，就停下,Articles,https://sive.rs/wtg,
2019/10/15,Digital pollution,数字垃圾,Tech blog,https://sive.rs/polut,
2019/10/14,Cut out everything that’s not surprising,删掉所有不足为奇的东西,Articles,https://sive.rs/d22,
2019/10/13,Heed your fears,留意你的恐惧,Articles,https://sive.rs/gofear,
2019/10/12,Daydreaming is my favorite pastime,白日梦是我最喜欢的消遣方式,Articles,https://sive.rs/daydream,
2019/10/11,Anti-chameleon,逆反心理,Articles,https://sive.rs/antic,
2019/10/10,Where we do and don’t want automation,我们需要和不希望自动化的地方,Articles,https://sive.rs/autom,
2019/10/9,Human nature to focus on the one bad thing,人倾向关注坏事情,Articles,https://sive.rs/negz,
2019/10/8,Back and forth between super-hot and super-cold,冷热交替,Articles,https://sive.rs/sauna,
2019/10/7,"Err on the side of action, to test theories",实践出真知,Articles,https://sive.rs/erra,
2019/10/6,Blowing off work to play,翘班去玩,Articles,https://sive.rs/hooky,
2019/10/5,What happens when we ignore plans?,如果我们无视计划会怎样？,Articles,https://sive.rs/ldn,
2019/10/4,Tour -isms,各种「主义」,Articles,https://sive.rs/isms,
2019/10/3,Meta-considerate,真正的体贴,Articles,https://sive.rs/metac,
2019/10/2,"Daydreaming the downside, for once",为幻想买单,Articles,https://sive.rs/ddown,
2019/10/1,Where to find the hours to make it happen,与其空想，不如实践,Articles,https://sive.rs/uncomf,
2019/9/30,Your heroes show which way you’re facing,让榜样为你指引方向,Articles,https://sive.rs/hf,
2019/9/29,Don’t quote. Make it yours and say it yourself.,不要引用，变成你的话说出来。,Articles,https://sive.rs/dq,https://readit.site/a/r5VxD
2019/9/28,Have a private email account,拥有一个私人邮件地址,Articles,https://sive.rs/pe,
2019/9/27,Future posthumous autobiography,未来遗作,Articles,https://sive.rs/abio,https://readit.site/a/1z3sO
2019/9/27,Cross the world four times,四次穿越世界,Articles,https://sive.rs/4,https://readit.site/a/iFlZo
